variant,side,subset,n,n_breach,breach_rate,breach_rate_ci_low,breach_rate_ci_high,breach_rate_ci_excludes_alpha,kupiec_pvalue,chris_ind_lr_day,chris_ind_pvalue_day,z1,z1_ci_low,z1_ci_high,low_support
raw,long,overall,39075,7149,0.1829558541266794,,,,0.0,,,,,,False
raw,long,night,6513,1507,0.2313833870720098,,,,0.0,,,,,,False
raw,long,morning_ramp,3256,432,0.1326781326781326,,,,1.6523883605492527e-73,,,,,,False
raw,long,midday,6512,1436,0.2205159705159705,,,,0.0,,,,,,False
raw,long,evening_ramp,4884,558,0.1142506142506142,,,,9.041213541157578e-71,,,,,,False
raw,long,ramp,8140,990,0.1216216216216216,,,,5.226040654022456e-141,,,,,,False
raw,long,bucket_negative,1227,277,0.2257538712306438,,,,4.326852331777682e-99,,,,,,True
raw,long,bucket_0_50,4149,1249,0.3010363943118824,,,,0.0,,,,,,False
raw,long,bucket_50_100,14025,2608,0.1859536541889483,,,,0.0,,,,,,False
raw,long,bucket_100_150,10184,1719,0.1687941869599371,,,,0.0,,,,,,False
raw,long,bucket_150_250,5749,843,0.1466341972516959,,,,1.3136661076130665e-167,,,,,,False
raw,long,bucket_250_400,2552,370,0.1449843260188087,,,,2.5015669470050096e-73,,,,,,True
raw,long,bucket_400_plus,1189,83,0.0698065601345668,,,,0.0030297427156073,,,,,,True
raw,long,forecast_dunkelflaute,3266,353,0.1080832823025107,,,,2.568827381000138e-40,,,,,,True
raw,long,forecast_renewable_surplus,451,145,0.3215077605321508,,,,1.5050445113285302e-74,,,,,,True
raw,short,overall,39075,6939,0.1775815738963531,,,,0.0,,,,,,False
raw,short,night,6513,906,0.1391064025794564,,,,4.929658769955135e-165,,,,,,False
raw,short,morning_ramp,3256,713,0.2189803439803439,,,,2.2253414354376803e-243,,,,,,False
raw,short,midday,6512,961,0.14757371007371,,,,9.774917830495215e-193,,,,,,False
raw,short,evening_ramp,4884,1162,0.2379197379197379,,,,0.0,,,,,,False
raw,short,ramp,8140,1875,0.2303439803439803,,,,0.0,,,,,,False
raw,short,bucket_negative,1227,68,0.0554197229013854,,,,0.3915525875670546,,,,,,True
raw,short,bucket_0_50,4149,435,0.1048445408532176,,,,5.966333125471671e-46,,,,,,False
raw,short,bucket_50_100,14025,2384,0.169982174688057,,,,0.0,,,,,,False
raw,short,bucket_100_150,10184,2007,0.1970738413197172,,,,0.0,,,,,,False
raw,short,bucket_150_250,5749,1141,0.1984692990085232,,,,0.0,,,,,,False
raw,short,bucket_250_400,2552,587,0.2300156739811912,,,,4.3930127983231156e-212,,,,,,True
raw,short,bucket_400_plus,1189,317,0.2666105971404541,,,,1.2082587131047728e-134,,,,,,True
raw,short,forecast_dunkelflaute,3266,640,0.1959583588487446,,,,1.0662026308551223e-191,,,,,,True
raw,short,forecast_renewable_surplus,451,6,0.0133037694013303,,,,2.3983663444185295e-05,,,,,,True
calibrated,long,overall,39075,1910,0.0488803582853486,0.0436864582303967,0.0540410243831216,False,0.3081416281771514,77.69508290376868,1.2024030235956591e-18,-0.1079942336859786,-0.1358882075146691,-0.0780950842185487,False
calibrated,long,night,6513,352,0.054045754644557,0.0452220663013278,0.0632580991862429,False,0.1389813509605437,77.69508290376868,1.2024030235956591e-18,-0.147274957470186,-0.1963416963575502,-0.0926382793467265,False
calibrated,long,morning_ramp,3256,117,0.0359336609336609,0.0282555282555282,0.0439189189189189,True,0.00010904493983,77.69508290376868,1.2024030235956591e-18,-0.0967424508833738,-0.1482392507749716,-0.0450663630642739,False
calibrated,long,midday,6512,406,0.0623464373464373,0.0532824017199017,0.0714066339066339,True,1.0356686644558051e-05,77.69508290376868,1.2024030235956591e-18,-0.0813623403143494,-0.1327964647334668,-0.0250086401709164,False
calibrated,long,evening_ramp,4884,143,0.0292792792792792,0.0230292792792792,0.0358312858312858,True,7.013351796066249e-13,77.69508290376868,1.2024030235956591e-18,-0.1734590799097366,-0.2118034001453499,-0.1349381079832269,False
calibrated,long,ramp,8140,260,0.0319410319410319,0.0267813267813267,0.0373464373464373,True,1.4136551905178985e-15,77.69508290376868,1.2024030235956591e-18,-0.1389365968478733,-0.1709958303852801,-0.1071866503120999,False
calibrated,long,bucket_negative,1227,59,0.0480847595762021,0.0291844308904564,0.0697340916219258,False,0.7567785267275065,77.69508290376868,1.2024030235956591e-18,0.2901073877689166,-0.0716913356739262,0.7328534301792388,True
calibrated,long,bucket_0_50,4149,185,0.0445890576042419,0.0315463358819353,0.0594495457887366,False,0.1035594068839723,77.69508290376868,1.2024030235956591e-18,-0.2144131479200804,-0.2687192276827322,-0.1509697448178434,False
calibrated,long,bucket_50_100,14025,798,0.0568983957219251,0.0492520441150476,0.0648113758052726,False,0.0002413895224647,77.69508290376868,1.2024030235956591e-18,-0.0694676519033357,-0.1105921586530187,-0.0243105152486535,False
calibrated,long,bucket_100_150,10184,535,0.0525333857030636,0.0439803555262009,0.0612817786277755,False,0.2444834702059344,77.69508290376868,1.2024030235956591e-18,-0.1510705566668896,-0.1818493947843193,-0.1194423128045953,False
calibrated,long,bucket_150_250,5749,184,0.0320055661854235,0.0239189944123559,0.0404750731117131,True,2.3230040926997063e-11,77.69508290376868,1.2024030235956591e-18,-0.1976185040952495,-0.2457564259694076,-0.1462838555329547,False
calibrated,long,bucket_250_400,2552,120,0.0470219435736677,0.029209940718496,0.067965369178681,False,0.4858387807456922,77.69508290376868,1.2024030235956591e-18,-0.0642464881933052,-0.1533793732750308,0.0208043069930593,True
calibrated,long,bucket_400_plus,1189,29,0.024390243902439,0.0105633802816901,0.0429168042258171,True,7.431304139200259e-06,77.69508290376868,1.2024030235956591e-18,-0.1155533068695554,-0.2347204157964867,-0.0461378833486173,True
calibrated,long,forecast_dunkelflaute,3266,62,0.0189834660134721,0.0109322402886292,0.0283339387491185,True,2.00748991951449e-20,77.69508290376868,1.2024030235956591e-18,-0.2444617269547931,-0.3042586096565046,-0.1863995043449003,True
calibrated,long,forecast_renewable_surplus,451,40,0.0886917960088691,0.0437951999730902,0.1364606736213467,False,0.0006344407423453,77.69508290376868,1.2024030235956591e-18,0.2575431369648675,-0.2306135940135067,0.9535330499069676,True
calibrated,short,overall,39075,2021,0.0517210492642354,0.0463694195655499,0.0572771109040929,False,0.1205157371958724,81.97918102750675,1.375277301091068e-19,-0.0517093484315736,-0.0844673146948967,-0.0184047299086741,False
calibrated,short,night,6513,158,0.0242591739597727,0.0185696746470227,0.0302611367127496,True,5.184545679216424e-26,81.97918102750675,1.375277301091068e-19,-0.1756565805526723,-0.2199035940013015,-0.1293664969771343,False
calibrated,short,morning_ramp,3256,263,0.0807739557739557,0.0694103194103194,0.0924447174447174,True,1.1067367612327231e-13,81.97918102750675,1.375277301091068e-19,-0.0306184671912458,-0.0832854499993983,0.026347212589017,False
calibrated,short,midday,6512,266,0.0408476658476658,0.0330159705159705,0.0489864864864864,True,0.0004737774095551,81.97918102750675,1.375277301091068e-19,-0.0931651958691119,-0.1419367515332727,-0.0430201803857702,False
calibrated,short,evening_ramp,4884,463,0.0947993447993447,0.0835380835380835,0.106060606060606,True,7.934384373777026e-38,81.97918102750675,1.375277301091068e-19,0.0488243747996477,-0.0203506026656527,0.1227708223465477,False
calibrated,short,ramp,8140,726,0.0891891891891892,0.0798525798525798,0.0984029484029484,True,7.96004646475751e-49,81.97918102750675,1.375277301091068e-19,0.0200454940233323,-0.0299396915790236,0.0726942865410312,False
calibrated,short,bucket_negative,1227,18,0.0146699266503667,0.0071482471329347,0.0236348818255908,True,3.0438457830052785e-11,81.97918102750675,1.375277301091068e-19,-0.1145600286120388,-0.2185753001440394,0.040208255143899,True
calibrated,short,bucket_0_50,4149,118,0.0284405880935165,0.0194102627836252,0.0386009075998851,True,4.811673183334762e-12,81.97918102750675,1.375277301091068e-19,-0.1018858679420728,-0.1464516820152771,-0.0551546754635733,False
calibrated,short,bucket_50_100,14025,632,0.0450623885918003,0.0390255270628345,0.0514131642043103,False,0.0063973595729909,81.97918102750675,1.375277301091068e-19,-0.1280971733681801,-0.1545126933835023,-0.1014777983743256,False
calibrated,short,bucket_100_150,10184,635,0.0623527101335428,0.0540848733696276,0.0711513395953321,True,3.445770533615878e-08,81.97918102750675,1.375277301091068e-19,-0.0272248063577986,-0.0719318055992127,0.0195877444639574,False
calibrated,short,bucket_150_250,5749,345,0.0600104365976691,0.0454334607784864,0.0760738390142083,False,0.0007225027668094,81.97918102750675,1.375277301091068e-19,0.0992956659321442,-0.0139344036531866,0.2125535656068458,False
calibrated,short,bucket_250_400,2552,167,0.0654388714733542,0.0443338195985331,0.0897311653592699,False,0.0006179829100498,81.97918102750675,1.375277301091068e-19,-0.0802983449191881,-0.1659245196250529,0.0166566770264831,True
calibrated,short,bucket_400_plus,1189,106,0.0891505466778805,0.0530951938451356,0.1301392484287171,True,2.0510452357552967e-08,81.97918102750675,1.375277301091068e-19,-0.1228490168605878,-0.2094968283156989,-0.0472120465118377,True
calibrated,short,forecast_dunkelflaute,3266,230,0.0704225352112676,0.0533130442880263,0.0894270678070505,True,4.222643632512759e-07,81.97918102750675,1.375277301091068e-19,0.1053595129854372,-0.0192486402758176,0.2326792377551394,True
calibrated,short,forecast_renewable_surplus,451,0,0.0,0.0,0.0,True,1.0321096298705122e-11,81.97918102750675,1.375277301091068e-19,,,,True
fhs,long,overall,39075,1916,0.0490339091490723,0.04406825172901,0.0541315445321476,False,0.379439007072899,103.68607864267554,2.3705104467064747e-24,-0.0114361762511467,-0.0444838462482942,0.0243106503251693,False
fhs,long,night,6513,298,0.0457546445570397,0.0379094549481364,0.05448169619783,False,0.1109611729007856,103.68607864267554,2.3705104467064747e-24,-0.084371807323703,-0.1191649127315342,-0.0476102586829968,False
fhs,long,morning_ramp,3256,149,0.0457616707616707,0.0371621621621621,0.0549754299754299,False,0.2605590982893778,103.68607864267554,2.3705104467064747e-24,-0.0631028852359708,-0.1133381955174875,-0.0042402806603614,False
fhs,long,midday,6512,396,0.0608108108108108,0.0517506142506142,0.07002457002457,True,0.0001055972379813,103.68607864267554,2.3705104467064747e-24,0.0193178090369998,-0.0371858550558501,0.0782836092031545,False
fhs,long,evening_ramp,4884,192,0.0393120393120393,0.0319410319410319,0.0468877968877968,True,0.0003783716600846,103.68607864267554,2.3705104467064747e-24,0.0014956741071052,-0.0668162080546725,0.0766590360787205,False
