variant,side,n,n_breach,breach_rate,breach_rate_ci_low,breach_rate_ci_high,kupiec_pvalue,z1,z1_ci_low,z1_ci_high,buffer_factor
raw,long,39075,7149,0.1829558541266794,,,0.0,,,,
raw,short,39075,6939,0.1775815738963531,,,0.0,,,,
calibrated,long,39075,1910,0.0488803582853486,0.0436864582303967,0.0540410243831216,0.3081416281771514,-0.1079942336859786,-0.1358882075146691,-0.0780950842185487,1.529135531359624
calibrated,short,39075,2021,0.0517210492642354,0.0463694195655499,0.0572771109040929,0.1205157371958724,-0.0517093484315736,-0.0844673146948967,-0.0184047299086741,1.757531753452958
fhs,long,39075,1916,0.0490339091490723,0.04406825172901,0.0541315445321476,0.379439007072899,-0.0114361762511467,-0.0444838462482942,0.0243106503251693,
fhs,short,39075,1937,0.0495713371721049,0.0446331859053102,0.054715386501116,0.6970384949901482,0.0136062769659688,-0.02381834133982,0.0563239389150254,
